base_form,dict_id,eogan,pos,conjugation,usage,grade
가까워지다,,가까워지,동사,규,,B
가깝다,,가깝,형용사,ㅂ,,A
가꾸다,,가꾸,동사,규,,B
가난하다,,가난하,형용사,여,,B
가늘다,,가늘,형용사,ㄹ,,B
가능하다,,가능하,형용사,여,可能-,B
가능해지다,,가능해지,동사,규,可能-,C
가다,01,가,동사,규,,A
가득하다,01,가득하,형용사,여,,B
가라앉다,,가라앉,동사,규,,C
가려지다,,가려지,동사,규,,C
가로막다,,가로막,동사,규,,C
가르다,,가르,동사,르,,C
가르치다,01,가르치,동사,규,,A
가리다,02,가리,동사,규,시야를 ~,B
가리다,03,가리,동사,규,시비를 ~,B
가리키다,01,가리키,동사,규,,B
가만있다,,가만있,동사,규,,C
가볍다,,가볍,형용사,ㅂ,,A
가입하다,,가입하,동사,여,加入-,C
가져가다,,가져가,동사,규,,B
가져다주다,,가져다주,동사,규,,B
가져오다,,가져오,동사,규,,A
가지다,,가지,동사,규,,A
가하다,01,가하,동사,여,加-,C
간단하다,02,간단하,형용사,여,簡單-,B
간편하다,,간편하,형용사,여,簡便-,C
갇히다,,갇히,동사,규,,C
갈다,01,갈,동사,ㄹ,바꾸다,B
갈다,02,갈,동사,ㄹ,문지르다,B
갈아입다,,갈아입,동사,규,,B
갈아타다,,갈아타,동사,규,,B
감다,01,감,동사,규,눈을 ~,B
감다,03,감,동사,규,실을 ~,C
감사하다,05,감사하,형용사,여,感謝-,A
감사하다,05,감사하,동사,여,感謝-,A
감상하다,04,감상하,동사,여,鑑賞-,B
감소되다,,감소되,동사,규,減少-,C
감소하다,,감소하,동사,여,減少-,C
감싸다,,감싸,동사,규,,C
감추다,,감추,동사,규,,C
갑작스럽다,,갑작스럽,형용사,ㅂ,,C
값싸다,,값싸,형용사,규,,C
강력하다,,강력하,형용사,여,强力-,C
강렬하다,02,강렬하,형용사,여,强烈-,C
강요하다,,강요하,동사,여,强要-,C
강의하다,02,강의하,동사,여,講義-,C
강조하다,,강조하,동사,여,强調-,B
강하다,02,강하,형용사,여,强-,B
강화하다,02,강화하,동사,여,强化-,C
갖다,01,갖,동사,규,가지다,B
갖추다,,갖추,동사,규,,C
같다,,같,형용사,규,,A
같이하다,,같이하,동사,여,,C
갚다,,갚,동사,규,,C
개다,01,개,동사,규,날이 ~,C
개발되다,,개발되,동사,규,開發-,C
개발하다,,개발하,동사,여,開發-,B
개방되다,,개방되,동사,규,開放-,C
개방하다,03,개방하,동사,여,開放-,C
개선되다,01,개선되,동사,규,改善-,C
개선하다,01,개선하,동사,여,改善-,C
거대하다,,거대하,형용사,여,巨大-,C
거두다,,거두,동사,규,,C
거들다,01,거들,동사,ㄹ,,C
거부하다,,거부하,동사,여,拒否-,C
거절하다,01,거절하,동사,여,拒絶-,C
거치다,01,거치,동사,규,,C
거칠다,,거칠,형용사,ㄹ,,C
걱정되다,,걱정되,동사,규,,B
걱정스럽다,,걱정스럽,형용사,ㅂ,,B
걱정하다,,걱정하,동사,여,,A
건강하다,02,건강하,형용사,여,健康-,A
건너가다,,건너가,동사,규,,B
건너다,,건너,동사,규,,B
건너오다,,건너오,동사,규,,B
건네다,,건네,동사,규,,C
건네주다,,건네주,동사,규,,C
건드리다,,건드리,동사,규,,C
건설되다,,건설되,동사,규,建設-,C
건설하다,,건설하,동사,여,建設-,C
건전하다,,건전하,형용사,여,健全-,C
건조하다,02,건조하,형용사,여,乾燥-,C
건지다,,건지,동사,규,,B
걷다,02,걷,동사,ㄷ,느릿느릿 ~,A
걷다,03,걷,동사,규,소매를 ~,C
걷다,04,걷,동사,규,빨래를 ~,C
걸다,02,걸,동사,ㄹ,옷을 ~,A
걸리다,01,걸리,동사,규,'걸다'의 피동사,B
걸어가다,,걸어가,동사,규,,A
걸어오다,01,걸어오,동사,규,집까지 ~,A
걸치다,,걸치,동사,규,,C
검다,02,검,형용사,규,색깔이 ~,B
겁나다,02,겁나,동사,규,怯-,C
게으르다,,게으르,형용사,르,,C
겪다,,겪,동사,규,,C
견디다,,견디,동사,규,,B
결석하다,,결석하,동사,여,缺席-,C
결심하다,01,결심하,동사,여,決心-,B
결정되다,01,결정되,동사,규,決定-,B
결정하다,01,결정하,동사,여,決定-,B
결혼하다,,결혼하,동사,여,結婚-,A
경고하다,02,경고하,동사,여,警告-,C
경영하다,01,경영하,동사,여,經營-,C
경험하다,,경험하,동사,여,經驗-,B
계산하다,,계산하,동사,여,計算-,B
계속되다,02,계속되,동사,규,繼續-,B
계속하다,03,계속하,동사,여,繼續-,B
계시다,,계시,동사,규,,A
계획하다,01,계획하,동사,여,計劃-,B
고급스럽다,,고급스럽,형용사,ㅂ,高級-,C
고려하다,01,고려하,동사,여,考慮-,B
고르다,01,고르,동사,르,뽑다,B
고르다,03,고르,형용사,르,차이가 없다,B
고맙다,01,고맙,형용사,ㅂ,,A
고민하다,,고민하,동사,여,苦悶-,B
고생하다,,고생하,동사,여,苦生-,B
고소하다,01,고소하,형용사,여,맛이 ~,C
고요하다,,고요하,형용사,여,,C
고집하다,,고집하,동사,여,固執-,C
고치다,01,고치,동사,규,,B
고통스럽다,,고통스럽,형용사,ㅂ,苦痛-,C
고프다,,고프,형용사,으,,A
곤란하다,,곤란하,형용사,여,困難-,C
곧다,01,곧,형용사,규,,C
곱다,02,곱,형용사,ㅂ,아름답다,B
공개하다,,공개하,동사,여,公開-,C
공격하다,,공격하,동사,여,攻擊-,C
공부하다,,공부하,동사,여,工夫-,A
공연되다,,공연되,동사,규,公演-,C
공연하다,02,공연하,동사,여,公演-,C
공통되다,,공통되,동사,규,共通-,C
관계되다,,관계되,동사,규,關係-,C
관련되다,,관련되,동사,규,關聯-,B
관련하다,,관련하,동사,여,關聯-,B
관리하다,,관리하,동사,여,管理-,C
관찰하다,,관찰하,동사,여,觀察-,B
관하다,02,관하,동사,여,關-,B
괜찮다,,괜찮,형용사,규,,A
괴로워하다,,괴로워하,동사,여,,C
괴롭다,,괴롭,형용사,ㅂ,,B
괴롭히다,,괴롭히,동사,규,,C
굉장하다,,굉장하,형용사,여,宏壯-,C
교환하다,01,교환하,동사,여,交換-,C
구경하다,,구경하,동사,여,,B
구르다,01,구르,동사,르,바위가 ~,C
구별되다,,구별되,동사,규,區別-,C
구별하다,,구별하,동사,여,區別-,C
구분되다,,구분되,동사,규,區分-,C
구분하다,03,구분하,동사,여,區分-,C
구성되다,,구성되,동사,규,構成-,C
구성하다,,구성하,동사,여,構成-,C
구속되다,,구속되,동사,규,拘束-,C
구속하다,01,구속하,동사,여,拘束-,C
구입하다,03,구입하,동사,여,購入-,C
구하다,01,구하,동사,여,求-,B
구하다,03,구하,동사,여,救-,B
굳다,,굳,형용사,규,,C
굳어지다,,굳어지,동사,규,,C
굳히다,,굳히,동사,규,,C
굵다,,굵,형용사,규,,B
굶다,,굶,동사,규,,C
굽다,01,굽,동사,ㅂ,익히다,B
굽히다,,굽히,동사,규,,C
궁금하다,01,궁금하,형용사,여,,B
권하다,,권하,동사,여,勸-,B
귀가하다,01,귀가하,동사,여,歸家-,C
귀국하다,,귀국하,동사,여,歸國-,B
귀엽다,,귀엽,형용사,ㅂ,,B
귀중하다,01,귀중하,형용사,여,貴重-,C
귀찮다,,귀찮,형용사,규,,C
귀하다,,귀하,형용사,여,貴-,C
그러다,,그러,동사,규,,C
그러하다,,그러하,형용사,여,,B
그럴듯하다,,그럴듯하,형용사,여,,C
그렇다,,그렇,형용사,ㅎ,,A
그려지다,,그려지,동사,규,,B
그리다,02,그리,동사,규,그림을 ~,A
그리워하다,,그리워하,동사,여,,C
그립다,,그립,형용사,ㅂ,,B
그만두다,,그만두,동사,규,,B
그만하다,,그만하,형용사,여,,B
그치다,,그치,동사,규,,B
극복하다,01,극복하,동사,여,克服-,C
근거하다,,근거하,동사,여,根據-,C
근무하다,,근무하,동사,여,勤務-,B
긁다,,긁,동사,규,,C
금지되다,,금지되,동사,규,禁止-,C
금지하다,,금지하,동사,여,禁止-,B
금하다,02,금하,동사,여,禁-,C
급증하다,,급증하,동사,여,急增-,C
급하다,,급하,형용사,여,急-,B
긋다,01,긋,동사,ㅅ,금을 ~,C
기념하다,,기념하,동사,여,記念-,C
기다,01,기,동사,규,,C
기다리다,,기다리,동사,규,,A
기대다,01,기대,동사,규,의지하다,C
기대되다,,기대되,동사,규,期待-,C
기대하다,,기대하,동사,여,期待-,B
기도하다,02,기도하,동사,여,祈禱-,C
기록되다,,기록되,동사,규,記錄-,C
기록하다,,기록하,동사,여,記錄-,B
기르다,,기르,동사,르,,B
기막히다,,기막히,형용사,규,氣-,C
기뻐하다,,기뻐하,동사,여,,B
기쁘다,,기쁘,형용사,으,,B
기술하다,01,기술하,동사,여,記述-,C
기억나다,,기억나,동사,규,記憶-,B
기억되다,,기억되,동사,규,記憶-,C
기억하다,02,기억하,동사,여,記憶-,B
기여하다,,기여하,동사,여,寄與-,C
기울다,,기울,동사,ㄹ,,C
기울이다,,기울이,동사,규,,C
기초하다,03,기초하,동사,여,基礎-,C
긴장되다,,긴장되,동사,규,緊張-,C
긴장하다,,긴장하,동사,여,緊張-,B
길다,02,길,형용사,ㄹ,밤이 ~,A
길어지다,,길어지,동사,규,,C
깊다,,깊,형용사,규,,B
까다,01,까,동사,규,마늘을 ~,C
까맣다,,까맣,형용사,ㅎ,,B
까먹다,,까먹,동사,규,,C
깎다,,깎,동사,규,,A
깔끔하다,,깔끔하,형용사,여,,C
깔다,,깔,동사,ㄹ,,C
깔리다,01,깔리,동사,규,,C
깨끗하다,,깨끗하,형용사,여,,A
깨끗해지다,,깨끗해지,동사,규,,C
깨다,01,깨,동사,규,술이 ~,B
깨다,02,깨,동사,규,그릇을 ~,B
깨닫다,,깨닫,동사,ㄷ,,C
깨뜨리다,,깨뜨리,동사,규,,C
깨어나다,,깨어나,동사,규,,C
